Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402,1,100nF,
C2,C_0402,1,22uF,
C3,C_0402,1,1uF,
C4,C_1206,1,100uF 6.3V,
C6,C_0603_,1,10uF 35V,C194427
C7,C_0603_,1,10uF 6.3V,C1691
C8,C_0603_,1,100nF,
D1,D_SOD-123,1,D,C1884542
D2,0402,1,LED,C965790
J1,USB-C-Socket-H,1,USB-C-Socket-V,C709357
L2,L_4x4_,1,10uH,
R1,R_0402,1,10K,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
"R2, R3",R_0402,2,5k1,
R4,R_0402,1,240R,
R9,R_0402_,1,124k,
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U5,SOT-23-6-MD8942,1,MD8942,C2684786
